id,ET,point
2003-01-01,4.372924913831592,0
2003-01-09,3.522150334948905,0
2003-01-17,5.201640413050027,0
2003-01-25,5.33943535800046,0
2003-02-02,3.1178846554915163,0
2003-02-10,5.641554516852021,0
2003-02-18,7.399482681298569,0
2003-02-26,7.115432707058597,0
2003-03-06,11.914892201393865,0
2003-03-14,9.698563924780299,0
2003-03-22,13.06495293603159,0
2003-03-30,12.729624505457892,0
2003-04-07,14.74669087166828,0
2003-04-15,13.042269236799061,0
2003-04-23,14.889806395027584,0
2003-05-01,10.98622729503057,0
2003-05-09,18.142886916391078,0
2003-05-17,22.44970208298779,0
2003-05-25,25.962374794182786,0
2003-06-02,20.888720483478824,0
2003-06-10,19.273097392937427,0
2003-06-18,17.178908125043016,0
2003-06-26,22.312629245392117,0
2003-07-04,24.22654417674441,0
2003-07-12,22.84985576045478,0
2003-07-20,22.07902046025924,0
2003-07-28,18.575387658914774,0
2003-08-05,27.24170061803023,0
2003-08-13,28.559672946713295,0
2003-08-21,25.32776782696846,0
2003-08-29,21.597170085340338,0
2003-09-06,21.31903695955919,0
2003-09-14,21.5594163470168,0
2003-09-22,20.75534484617372,0
2003-09-30,15.657021816665887,0
2003-10-08,15.167422617661531,0
2003-10-16,14.47225894044449,0
2003-10-24,11.850714762477889,0
2003-11-01,4.050664060708918,0
2003-11-09,3.0670043109643914,0
2003-11-17,5.872196574995086,0
2003-11-25,5.127904930246925,0
2003-12-03,3.70495306427879,0
2003-12-11,2.996908999642339,0
2003-12-27,1.674603363286538,0
2004-01-01,2.259289511498422,0
2004-01-09,3.1962755549868374,0
2004-01-17,3.8051609484172535,0
2004-01-25,3.6417718182325367,0
2004-02-02,4.983948693555726,0
2004-02-10,6.300316454961891,0
2004-02-18,4.474777134324956,0
2004-02-26,5.888837145834497,0
2004-03-05,13.887186342718215,0
2004-03-13,19.12542534035106,0
2004-03-21,11.706158882683813,0
2004-03-29,7.0097007854229645,0
2004-04-06,9.230673372701657,0
2004-04-14,7.5559309948128295,0
2004-04-22,14.650644380021872,0
2004-04-30,17.02001605097006,0
2004-05-08,15.164102184006765,0
2004-05-16,14.032940820154735,0
2004-05-24,16.83412373831253,0
2004-06-01,22.338094613097702,0
2004-06-09,19.422171928899672,0
2004-06-17,21.86211603706554,0
2004-06-25,20.424856997777745,0
2004-07-03,23.153471391632415,0
2004-07-11,23.958425162131253,0
2004-07-19,24.49283966629681,0
2004-07-27,23.00903827867493,0
2004-08-04,22.394795036725988,0
2004-08-12,19.057425981375086,0
2004-08-20,16.447991293603565,0
2004-08-28,19.87488948723029,0
2004-09-05,19.456835550441685,0
2004-09-13,15.033054871558654,0
2004-09-21,14.96799899908681,0
2004-09-29,12.031290725028237,0
2004-10-07,11.711782948602233,0
2004-10-15,8.809262806186236,0
2004-10-23,4.087732652578997,0
2004-10-31,6.270942559309258,0
2004-11-08,5.375027563926292,0
2004-11-16,4.909942477468209,0
2004-11-24,3.3172290457850444,0
2004-12-02,2.6118278444912657,0
2004-12-10,4.2320282508396065,0
2004-12-18,4.009931456280824,0
2004-12-26,2.2607326388918048,0
2005-01-01,1.7002863731194058,0
2005-01-09,2.4968049831571473,0
2005-01-17,5.30355358026605,0
2005-01-25,4.21358655638297,0
2005-02-02,6.849586378804902,0
2005-02-10,7.546098227719643,0
2005-02-18,6.656855218986238,0
2005-02-26,9.832062307521026,0
2005-03-06,15.316081555819814,0
2005-03-14,11.435406274412413,0
2005-03-22,9.715602681458723,0
2005-03-30,16.41089068834949,0
2005-04-07,14.717169767671082,0
2005-04-15,17.951445510539926,0
2005-04-23,8.05571292292767,0
2005-05-01,17.010834036738927,0
2005-05-09,18.49022837358877,0
2005-05-17,24.928087857232594,0
2005-05-25,24.296625719081874,0
2005-06-02,13.904685391815104,0
2005-06-10,17.236452590798063,0
2005-06-18,19.05872998627806,0
2005-06-26,22.34680434107257,0
2005-07-04,24.094454604583493,0
2005-07-12,25.827372699271805,0
2005-07-20,25.845481737746145,0
2005-07-28,25.063471555370086,0
2005-08-05,22.502409958343392,0
2005-08-13,22.25580783363498,0
2005-08-21,25.01974658129543,0
2005-08-29,22.97357867197929,0
2005-09-06,17.888158317705898,0
2005-09-14,16.730596025204335,0
2005-09-22,16.249842933320096,0
2005-09-30,16.006223995528636,0
2005-10-08,14.668894467706947,0
2005-10-16,12.552756280248767,0
2005-10-24,10.600580781783043,0
2005-11-01,9.207013057888881,0
2005-11-09,9.239376083374509,0
2005-11-17,9.794623228476313,0
2005-11-25,4.972400569131138,0
2005-12-03,4.378869944145491,0
2005-12-11,3.3652494896806098,0
2005-12-19,4.751676095940961,0
2005-12-27,2.2029307135185436,0
2006-01-01,2.8339714225147667,0
2006-01-09,3.7621804399640144,0
2006-01-17,3.5926202525935746,0
2006-01-25,4.526306080574869,0
2006-02-02,7.055964622275227,0
2006-02-10,4.456747469689532,0
2006-02-18,2.862278018206542,0
2006-02-26,7.761438732643861,0
2006-03-06,7.206981592292029,0
2006-03-14,7.3387732234602625,0
2006-03-22,13.312658981167573,0
2006-03-30,11.357762320956295,0
2006-04-07,14.814255704766344,0
2006-04-15,17.975712694888344,0
2006-04-23,18.33691388516123,0
2006-05-01,11.417879624811228,0
2006-05-09,14.720666943111825,0
2006-05-17,13.971354323864691,0
2006-05-25,14.894366871292537,0
2006-06-02,20.305541735807925,0
2006-06-10,19.523698339487606,0
2006-06-18,27.177091816247138,0
2006-06-26,24.03543992312371,0
2006-07-04,27.957755517168145,0
2006-07-12,28.484674417183033,0
2006-07-20,24.295569363110033,0
